# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_EXON	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_ACCEPTOR	variants_effect_SPLICE_SITE_DONOR	variants_effect_SPLICE_SITE_REGION	variants_effect_START_GAINED	variants_effect_START_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME	variants_effect_UTR_5_PRIME
ND-15	FBgn0031228	FBtr0330639	protein_coding	0	2	0	654	0	0	530	0	0	0	0	2	0	0	114	0	10
Nhe1	FBgn0026787	FBtr0301452	protein_coding	0	22	10	235	84	0	2	10	0	0	1	1	0	21	134	14	1
Sam-S	FBgn0005278	FBtr0089428	protein_coding	0	4	1	393	136	0	124	1	0	0	2	0	0	2	105	24	6
Sam-S	FBgn0005278	FBtr0089429	protein_coding	0	11	2	390	138	0	125	2	0	0	1	0	0	10	105	17	6
Sam-S	FBgn0005278	FBtr0089430	protein_coding	0	12	2	384	138	0	115	2	0	0	1	1	0	10	108	17	7
Sam-S	FBgn0005278	FBtr0089431	protein_coding	0	14	2	382	138	0	114	2	0	0	2	1	0	11	108	17	7
Sam-S	FBgn0005278	FBtr0089432	protein_coding	0	12	2	379	136	0	115	2	0	0	1	1	0	10	108	14	7
Sam-S	FBgn0005278	FBtr0089433	protein_coding	0	11	2	379	138	0	115	2	0	0	1	0	0	10	108	17	2
Sam-S	FBgn0005278	FBtr0089434	protein_coding	0	11	2	379	138	0	110	2	0	0	1	0	0	10	108	17	7
Sam-S	FBgn0005278	FBtr0089435	protein_coding	0	13	2	377	138	0	114	2	0	0	2	0	0	11	108	17	2
Sam-S	FBgn0005278	FBtr0089436	protein_coding	0	14	1	342	136	0	75	1	0	0	2	2	0	10	114	14	5
Sam-S	FBgn0005278	FBtr0089437	protein_coding	0	12	2	416	138	0	150	2	0	0	1	1	0	10	105	17	7
Sam-S	FBgn0005278	FBtr0308091	protein_coding	0	3	2	324	127	0	78	2	0	0	1	0	0	2	105	8	6
Sam-S	FBgn0005278	FBtr0330656	protein_coding	0	3	1	400	138	0	119	1	0	0	1	1	0	1	105	27	12
Zir	FBgn0031216	FBtr0078103	protein_coding	0	53	19	254	107	0	20	19	0	0	6	0	0	47	127	4	2
asRNA:CR43609	FBgn0263584	FBtr0309810	lincRNA	0	0	0	273	96	32	2	0	0	0	0	0	0	0	143	0	0
asRNA:CR44969	FBgn0266304	FBtr0344032	lincRNA	1	3	0	264	131	16	4	0	0	1	3	0	0	0	117	0	0
asRNA:CR44987	FBgn0266322	FBtr0344052	lincRNA	0	0	0	287	127	68	0	0	0	0	0	0	0	0	92	0	0
asRNA:CR44987	FBgn0266322	FBtr0344053	lincRNA	0	1	0	286	127	67	1	0	0	0	1	0	0	0	92	0	0
dbr	FBgn0067779	FBtr0078100	protein_coding	1	29	38	297	112	0	12	38	1	0	0	4	0	25	152	7	15
dbr	FBgn0067779	FBtr0306536	protein_coding	1	29	38	285	103	0	12	38	1	0	0	4	0	25	152	4	15
dbr	FBgn0067779	FBtr0306537	protein_coding	1	27	38	296	112	0	20	38	1	0	1	1	0	25	152	7	7
dbr	FBgn0067779	FBtr0306538	protein_coding	1	26	38	285	103	0	20	38	1	0	0	1	0	25	152	4	7
dbr	FBgn0067779	FBtr0306539	protein_coding	2	27	38	309	112	0	27	38	2	0	0	2	0	25	151	7	14
galectin	FBgn0031213	FBtr0078101	protein_coding	0	9	14	292	125	0	47	14	0	0	2	1	0	7	115	2	4
galectin	FBgn0031213	FBtr0301733	protein_coding	0	6	10	264	125	0	10	10	0	0	2	2	0	3	122	2	6
galectin	FBgn0031213	FBtr0302164	protein_coding	0	6	12	272	125	0	27	12	0	0	2	0	0	5	118	2	1
galectin	FBgn0031213	FBtr0306540	protein_coding	1	6	10	315	125	0	72	10	1	0	3	1	0	3	114	2	5
galectin	FBgn0031213	FBtr0331680	protein_coding	0	8	7	279	125	0	23	7	0	0	2	3	0	3	118	2	12
l(2)gl	FBgn0002121	FBtr0078166	protein_coding	0	25	26	520	198	0	186	26	0	0	1	1	0	23	99	36	2
l(2)gl	FBgn0002121	FBtr0078167	protein_coding	0	25	25	522	198	0	186	25	0	0	1	2	0	22	99	36	4
l(2)gl	FBgn0002121	FBtr0078168	protein_coding	1	25	25	521	198	0	187	25	1	0	1	2	0	22	99	36	3
l(2)gl	FBgn0002121	FBtr0078169	protein_coding	0	25	25	522	198	0	186	25	0	0	1	2	0	22	99	36	4
l(2)gl	FBgn0002121	FBtr0078170	protein_coding	0	25	26	472	198	0	106	26	0	0	2	0	0	23	124	36	10
l(2)gl	FBgn0002121	FBtr0078171	protein_coding	0	25	26	472	198	0	103	26	0	0	2	0	0	23	124	36	13
l(2)gl	FBgn0002121	FBtr0306589	protein_coding	1	27	26	518	198	0	181	26	1	0	2	2	0	23	99	36	7
l(2)gl	FBgn0002121	FBtr0306590	protein_coding	0	25	26	519	198	0	183	26	0	0	2	0	0	23	99	36	5
l(2)gl	FBgn0002121	FBtr0306591	protein_coding	0	27	26	519	198	0	180	26	0	0	2	2	0	23	99	36	8
l(2)gl	FBgn0002121	FBtr0306592	protein_coding	1	27	26	518	198	0	178	26	1	0	2	2	0	23	99	36	10
l(2)gl	FBgn0002121	FBtr0330655	protein_coding	0	26	23	523	198	0	184	23	0	0	2	2	0	22	99	36	8
lncRNA:CR44185	FBgn0265074	FBtr0336836	lincRNA	0	0	0	139	6	22	0	0	0	0	0	0	0	0	111	0	0
lncRNA:CR44186	FBgn0265075	FBtr0336837	lincRNA	1	0	0	117	0	4	2	0	0	1	0	0	0	0	112	0	0
lncRNA:CR45339	FBgn0266878	FBtr0345732	lincRNA	0	0	0	273	121	9	0	0	0	0	0	0	0	0	143	0	0
lncRNA:CR45340	FBgn0266879	FBtr0345733	lincRNA	0	0	0	268	113	8	0	0	0	0	0	0	0	0	147	0	0
lncRNA:CR46254	FBgn0267987	FBtr0347585	lincRNA	0	0	0	262	145	20	0	0	0	0	0	0	0	0	97	0	0
net	FBgn0002931	FBtr0290323	protein_coding	0	15	10	365	142	0	70	10	0	0	1	1	0	13	130	17	7
net	FBgn0002931	FBtr0330637	protein_coding	0	15	10	358	143	0	70	10	0	0	1	1	0	13	130	9	7
ovm	FBgn0051976	FBtr0302194	protein_coding	0	0	0	77	77	0	0	0	0	0	0	0	0	0	0	0	0
ovm	FBgn0051976	FBtr0346127	protein_coding	0	0	0	77	77	0	0	0	0	0	0	0	0	0	0	0	0
